1;1;Pilot
1;2;Spellingg Bee
1;3;Speak Now or Forever Hold Your Piece
1;4;Woman Seeking Dead Husband: Smokers Okay, No Pets
1;5;9 Lives
1;6;Weekend Warriors
1;7;Who Ya Gonna Call?
1;8;Shawn vs. the Red Phantom
1;9;Forget Me Not
1;10;From the Earth to the Starbucks
1;11;He Loves Me, He Loves Me Not, He Loves Me, Oops He's Dead!
1;12;Cloudy... With a Chance of Murder
1;13;Game, Set... Muuurder?
1;14;Poker? I Barely Know Her
1;15;Scary Sherry: Bianca's Toast
1;All;
2;1;American Duos
2;2;65 Million Years Off
2;3;Psy vs. Psy
2;4;Zero to Murder in Sixty Seconds
2;5;And Down the Stretch Comes Murder
2;6;Meat Is Murder, But Murder Is Also Murder
2;7;If You're So Smart, Then Why Are You Dead?
2;8;Rob-a-Bye Baby
2;9;Bounty Hunters!
2;10;Gus' Dad May Have Killed an Old Guy
2;11;There's Something About Mira
2;12;The Old and the Restless
2;13;Lights, Camera... Homicidio
2;14;Dis-Lodged
2;15;Black and Tan: A Crime of Fashion
2;16;Shawn (and Gus) of the Dead
2;All;
3;1;Ghosts
3;2;Murder? ... Anyone? ... Anyone? ... Bueller?
3;3;Daredevils!
3;4;The Greatest Adventure in the History of Basic Cable
3;5;Disco Didn't Die. It Was Murdered!
3;6;There Might Be Blood
3;7;Talk Derby to Me
3;8;Gus Walks into a Bank
3;9;Christmas Joy
3;10;Six Feet Under the Sea
3;11;Lassie Did a Bad, Bad Thing
3;12;Earth, Wind and... Wait for It
3;13;Any Given Friday Night at 10pm, 9pm Central
3;14;Truer Lies
3;15;Tuesday the 17th
3;16;An Evening with Mr. Yang
3;All;
4;1;Extradition: British Columbia
4;2;He Dead
4;3;High Noon-ish
4;4;The Devil's in the Details... and the Upstairs Bedroom
4;5;Shawn Gets the Yips
4;6;Bollywood Homicide
4;7;High Top Fade-Out
4;8;Let's Get Hairy
4;9;Shawn Takes a Shot in the Dark
4;10;You Can't Handle This Episode
4;11;Thrill Seekers and Hell-Raisers
4;12;A Very Juliet Episode
4;13;Death Is in the Air
4;14;Think Tank
4;15;The Head, the Tail, the Whole Damn Episode
4;16;Mr. Yin Presents...
4;All;
5;1;Romeo and Juliet and Juliet
5;2;Feet Don't Kill Me Now
5;3;Not Even Close... Encounters
5;4;Chivalry Is Not Dead... But Someone Is
5;5;Shawn and Gus in Drag (Racing)
5;6;Viagra Falls
5;7;Ferry Tale
5;8;Shawn 2.0
5;9;One, Maybe Two, Ways Out
5;10;Extradition II: The Actual Extradition Part
5;11;In Plain Fright
5;12;Dual Spires
5;13;We'd Like to Thank the Academy
5;14;The Polarizing Express
5;15;Dead Bear Walking
5;16;Yang 3 in 2D
5;All;
6;1;Shawn Rescues Darth Vader
6;2;Last Night Gus
6;3;This Episode Sucks
6;4;The Amazing Psych-Man & Tap Man, Issue #2
6;5;Dead Man's Curve Ball
6;6;Shawn, Interrupted
6;7;In for a Penny...
6;8;The Tao of Gus
6;9;Neil Simon's Lover's Retreat
6;10;Indiana Shawn and the Temple of the Kinda Crappy, Rusty Old Dagger
6;11;Heeeeere's Lassie
6;12;Shawn and the Real Girl
6;13;Let's Doo-Wop It Again
6;14;Autopsy Turvy
6;15;True Grits
6;16;Santabarbaratown
6;All;
7;1;Santabarbaratown 2
7;2;Juliet Takes a Luvvah
7;3;Lassie Jerky
7;4;No Country for Two Old Men
7;5;100 Clues
7;6;Cirque Du Soul
7;7;Deez Nups
7;8;Right Turn or Left for Dead
7;9;Juliet Wears the Pantsuit
7;10;Santa Barbarian Candidate
7;11;Office Space
7;12;Dead Air
7;13;Nip and Suck It!
7;14;No Trout About It
7;15;Psych: The Musical
7;All;
8;1;Lock, Stock, Some Smoking Barrels and Burton Guster's Goblet of Fire
8;2;S.E.I.Z.E. the Day
8;3;Remake A.K.A. Cloudy... With a Chance of Improvement
8;4;Someone's Got a Woody
8;5;COG Blocked
8;6;1967: A Psych Odyssey
8;7;Shawn and Gus Truck Things Up
8;8;A Touch of Sweevil
8;9;A Nightmare on State Street
8;10;The Break-Up
8;All;
Movies;1;Psych: The Movie
Movies;2;Psych 2: Lassie Come Home
Movies;3;Psych 3: This Is Gus
Movies;All;
All;All;
